"시군구코드","연도","시군구명","대졸인구비율","대졸인구비율등급","여성종사자비율","여성종사자비율등급","20세미만인구성장률","20세미만인구성장률등급","투표율","투표율등급","재정자립도","재정자립도등급","경제활동인구대비종사자수","경제활동인구대비종사자수등급","1인당지역내총생산","1인당지역내총생산등급","특허출원건수","특허출원건수등급","1인당주민세","1인당주민세등급","1인당공원면적","1인당공원면적등급","도로밀도","도로밀도등급","1만인당공무원수","1만인당공무원수등급","건축허가면적증감률","건축허가면적증감률등급","주민등록인구전출입률","주민등록인구전출입률등급","폐기물재활용률","폐기물재활용률등급","1만인당사회복지시설수","1만인당사회복지시설수등급","1만인당문화체육시설수","1만인당문화체육시설수등급","1만인당축제건수","1만인당축제건수등급","비영리단체수","비영리단체수등급"
"42800","2019",강원도 양구군,,,42.39,5,-5.47,10,,,14.13,4,0.34,4,,,7,1,9.3,1,41.52,7,0.37,1,231.69,7,-31.31,10,-2.76,10,93.33,6,49.15,6,42.59,6,1.4,7,2,1
"42820","2019",강원도 고성군,,,45.63,6,-4.74,10,,,14.33,4,0.55,6,,,29,1,18.12,3,21.22,6,0.55,1,206.9,7,4.51,7,-2.68,10,94.2,6,48.59,6,30.56,6,1.18,7,3,1
"43750","2019",충청북도 진천군,,,32.91,5,3.83,10,,,27.83,6,0.9,6,,,331,3,97.86,7,16.06,5,1.54,2,75.32,5,-29.84,10,3.45,8,87.9,6,,0,36.07,6,0.25,4,15,1
"44210","2019",충청남도 서산시,,,33.61,5,-2.46,10,,,39.46,6,0.53,5,,,301,3,70.19,6,19.55,5,2.07,3,49.22,4,,0,0.23,10,,0,25.68,5,11.03,3,0.65,6,26,3
"44710","2019",충청남도 금산군,,,32.89,5,-4.08,10,,,18.17,5,0.67,6,,,156,1,42.39,6,24.56,6,0.26,1,96.87,6,,0,-0.99,10,,0,73.44,7,18.75,5,0.78,6,23,2
"45180","2019",전라북도 정읍시,,,46.17,6,-5.52,10,,,14.55,4,0.45,5,,,199,1,22.22,4,40.4,6,1.54,2,75.45,5,-41.65,10,-0.88,10,91.98,6,72.07,7,20.38,5,0.68,6,52,5
"45210","2019",전라북도 김제시,,,40.52,5,-6.08,10,,,13.13,3,0.61,6,,,155,1,29.38,5,18.03,5,1.6,2,96.94,6,-12.55,10,-0.89,10,92.42,6,86,7,25.62,6,0.26,4,21,1
"45720","2019",전라북도 진안군,,,43.5,6,-11.31,10,,,11.03,3,0.44,5,,,29,1,14.73,2,22.78,6,0.5,1,204.44,7,13.66,7,-0.29,10,98.14,6,155.55,7,42.22,6,1.78,7,37,4
"45730","2019",전라북도 무주군,,,41.13,5,-4.2,10,,,17.97,5,0.51,5,,,13,1,21.6,4,4.97,1,0.61,1,187.37,7,-46.95,10,-0.13,10,92.89,6,126.54,7,40.85,6,0.89,6,19,1
"45750","2019",전라북도 임실군,,,45.76,6,-5.51,10,,,12.93,3,0.46,5,,,30,1,17.51,3,9.16,3,0.64,1,188.59,7,7.73,7,-3.15,10,97.83,6,143.39,7,20.65,5,2.34,7,18,1
