"시군구코드","연도","시군구명","노령화지수(인구총조사)","노령화지수(인구총조사)등급","인구순이동률","인구순이동률등급","인구변화율(인구총조사)","인구변화율(인구총조사)등급","평균교육년수","평균교육년수등급","독거노인가구비율","독거노인가구비율등급","기초생활수급자(천인당)","기초생활수급자(천인당)등급","소년소녀가장(천인당)","소년소녀가장(천인당)등급","노령화지수(주민등록인구통계)","노령화지수(주민등록인구통계)등급","인구변화율(주민등록인구통계)","인구변화율(주민등록인구통계)등급","고령인구수(인구총조사)","고령인구수(인구총조사)등급","고령인구수(주민등록인구통계)","고령인구수(주민등록인구통계)등급","노년부양비(인구총조사)","노년부양비(인구총조사)등급","노년부양비(주민등록인구통계)","노년부양비(주민등록인구통계)등급","세입자가구비율","세입자가구비율등급","경제활동인구(인구총조사)","경제활동인구(인구총조사)등급","경제활동인구(주민등록인구통계)","경제활동인구(주민등록인구통계)등급","종사자수(천명당)","종사자수(천명당)등급","사업체당종사자수","사업체당종사자수등급","제조업종사자비율","제조업종사자비율등급","고차산업종사자비율","고차산업종사자비율등급","재정자립도","재정자립도등급","지방세액(1인당)","지방세액(1인당)등급","지가변동률(주거)","지가변동률(주거)등급","지가변동률(상업)","지가변동률(상업)등급","의료보험료","의료보험료등급","도소매업종사자수(천명당)","도소매업종사자수(천명당)등급","총사업체수증감율","총사업체수증감율등급","총종사자수증감율","총종사자수증감율등급","도소매업체증감율","도소매업체증감율등급","제조업체증감율","제조업체증감율등급","주요산업별종사자수","주요산업별종사자수등급","총사업체수","총사업체수등급","노후주택비율","노후주택비율등급","신규주택비율","신규주택비율등급","공가율","공가율등급","부동산공시지가","부동산공시지가등급","노후건축물비율","노후건축물비율등급","소형주택비율","소형주택비율등급","주거면적(1인당)","주거면적(1인당)등급","주택보급율","주택보급율등급","접도율","접도율등급"
"45740","2003",전라북도 장수군,,,10.98,8,,,,,,,74.48,6,,,101.88,6,11.75,8,,,5530,1,,,29.91,6,,,,,18487,1,169.47,4,3.44,5,13.83,4,3.63,4,11,2,223.43,2,0.49,4,0.7,5,,,25.84,4,-3.59,10,0.85,6,-4.91,10,-7.83,10,761,1,1449,1,,,,,,,,,,,,,,,,,,
"45750","2003",전라북도 임실군,,,-1.71,10,,,,,,,81.12,6,,,173.04,7,-2.25,10,,,7778,3,,,35.34,7,,,,,22010,1,201.53,5,3.55,5,18.34,5,3.69,4,10.8,2,245.03,3,0.18,1,-0.02,1,,,36.32,5,-4,10,-1.05,10,-1.65,10,-14.04,10,1267,1,1945,1,,,,,,,,,,,,,,,,,,
"11320","2011",서울특별시 도봉구,,,-1.1,10,,,,,,,13.12,2,,,80.03,4,-0.74,10,,,39781,6,,,14.41,4,,,,,276083,6,152.67,3,4.15,5,6.54,2,6.34,6,32.1,6,410.52,3,0.04,3,0.04,5,59167636.38,6,28,4,1.61,4,0.99,2,3.37,6,0,1,10235,4,13455,5,,,,,,,,,,,,,,,,,,
"26380","2011",부산광역시 사하구,,,-1.31,10,,,,,,,42.11,6,,,72.86,4,-0.92,10,,,35634,6,,,13.15,4,,,,,270904,6,274.8,5,5.15,6,32.63,6,3.72,5,22.8,5,473.33,4,0.13,6,0.12,7,41857345.41,6,36.48,5,1.42,3,-0.71,1,0.98,2,2.31,4,31874,6,18969,6,,,,,,,,,,,,,,,,,,
"26530","2011",부산광역시 사상구,,,-1.72,10,,,,,,,45.25,6,,,71.88,4,-1.33,10,,,23085,5,,,11.59,3,,,,,199211,6,466.78,6,4.59,5,36.39,6,2.01,2,25.9,5,581.06,4,0.11,6,0.06,6,31880702.23,6,107.22,7,0.41,1,0.83,1,-0.97,1,1.56,2,43212,7,25894,6,,,,,,,,,,,,,,,,,,
"26710","2011",부산광역시 기장군,,,4.58,7,,,,,,,35.28,5,,,79.67,4,5.4,7,,,13895,4,,,18.1,5,,,,,76760,3,369.46,6,6.27,6,31.69,6,2.93,4,32.4,6,1545.73,6,0.21,7,0.29,7,12203676,3,41.52,5,6.3,7,13.84,7,7.76,7,7.52,6,12657,4,6374,3,,,,,,,,,,,,,,,,,,
"28185","2011",인천광역시 연수구,,,2.6,7,,,,,,,27.31,5,,,42.69,1,3.11,7,,,20535,5,,,9.37,2,,,,,219268,6,199.71,4,5.26,6,6.57,2,5.76,6,44.9,6,1189.5,6,0.03,2,0,1,40875183.04,6,26.91,4,5.7,6,3.95,6,5.45,7,5.63,6,9243,3,10924,5,,,,,,,,,,,,,,,,,,
"31110","2011",울산광역시 중구,,,-0.53,10,,,,,,,21.35,4,,,55.4,3,-0.12,1,,,18844,5,,,10.48,3,,,,,179775,6,174.3,4,3.08,4,4.96,1,4.15,5,23.1,5,417.66,3,0.11,6,0.1,7,29783319.72,5,40.28,5,0.73,1,-0.58,1,1.3,3,-3.51,1,9370,3,13185,5,,,,,,,,,,,,,,,,,,
"31140","2011",울산광역시 남구,,,-0.78,10,,,,,,,12.64,2,,,38.8,1,-0.18,1,,,21289,5,,,7.96,1,,,,,267343,6,462.61,6,6.05,6,16.4,5,7.98,6,49.3,6,1005.25,6,0.07,5,0.04,6,44859087.02,6,62.52,6,3.61,6,2.2,5,3.25,6,7.18,6,26056,6,26287,6,,,,,,,,,,,,,,,,,,
"41110","2011",경기도 수원시,,,0.36,7,,,,,,,13.03,2,,,42.29,1,1.02,7,,,78587,7,,,9.54,2,,,,,824060,7,301.17,5,5.91,6,8.43,3,7.01,6,62.2,7,907.23,6,0.17,6,0.06,6,145916226.66,7,42.22,5,5.01,6,3.75,6,6.27,7,5.78,6,46142,7,55430,7,,,,,,,,,,,,,,,,,,
