,시군구명,물리환경,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율,시군구코드,20세미만인구성장률,재정자립도,경제활동인구대비종사자수,특허출원건수,1인당주민세,1인당공원면적,도로밀도,1만인당공무원수,주민등록인구전출입률,폐기물재활용률,1만인당사회복지시설수,1만인당문화체육시설수,1만인당축제건수,cluster
84,강원도 속초시,1,-10.573,2,3.453,0.0,65.555,42210,-4.24,23.2,0.45,33.0,19.29,8.56,3.12,81.21,0.3,64.59,16.32,21.63,0.39,1
85,강원도 삼척시,1,-48.256,5,0.832,0.0,55.141,42230,-5.82,17.39,0.47,40.0,38.01,19.8,0.7,138.53,-1.28,94.71,39.28,20.24,0.91,0
86,강원도 홍천군,0,-26.635,2,2.563,0.0,47.077,42720,-6.53,16.7,0.45,77.0,23.79,17.38,0.4,119.3,-0.61,89.24,37.41,47.99,0.61,0
87,강원도 횡성군,0,-30.781,0,3.567,0.0,30.922,42730,-2.47,18.24,0.51,94.0,26.96,5.0,0.56,139.33,0.37,91.44,57.34,44.68,0.92,0
88,강원도 영월군,0,-55.419,4,2.003,1.0,47.805,42750,-6.81,21.44,0.5,61.0,28.3,33.59,0.29,175.08,-0.77,86.19,57.24,70.37,1.12,0
89,강원도 평창군,0,-41.894,5,3.134,2.0,42.148,42760,-7.63,14.52,0.51,53.0,28.95,33.37,0.5,179.48,-0.68,94.88,51.02,43.59,1.28,0
90,강원도 정선군,0,-71.743,5,1.991,1.0,40.844,42770,-5.84,27.29,0.62,26.0,63.96,56.24,0.46,182.1,-0.55,93.41,51.7,44.52,0.57,0
91,강원도 철원군,1,-24.145,4,1.955,1.0,56.235,42780,-4.14,11.96,0.31,50.0,12.07,22.85,0.62,149.41,-1.68,91.32,34.41,27.1,0.94,0
92,강원도 화천군,0,-25.596,5,4.831,0.0,47.364,42790,-4.22,14.02,0.28,10.0,9.49,36.66,0.27,213.25,-0.71,83.03,44.3,38.65,1.3,0
93,강원도 양구군,0,-28.129,4,3.003,0.0,47.848,42800,-5.47,14.13,0.34,7.0,9.3,41.52,0.37,231.69,-2.76,93.33,49.15,42.59,1.4,0
94,강원도 인제군,0,-30.362,4,1.267,1.0,33.189,42810,-4.93,15.28,0.38,16.0,13.87,39.35,0.28,192.37,-1.41,103.27,30.37,34.76,0.67,0
95,강원도 고성군,1,-39.419,3,3.383,0.0,60.056,42820,-4.74,14.33,0.55,29.0,18.12,21.22,0.55,206.9,-2.68,94.2,48.59,30.56,1.18,0
96,강원도 양양군,0,-30.055,3,3.63,0.0,39.42,42830,-2.2,13.58,0.61,25.0,20.81,6.35,0.91,202.61,2.03,77.03,58.0,35.57,1.16,0
97,충청북도 청주시,1,22.886,0,2.579,0.0,55.331,43110,-2.7,37.26,0.47,2040.0,43.79,18.86,3.42,35.97,0.07,76.61,41.14364285714286,21.2,0.827,0
98,충청북도 충주시,1,-5.386,1,1.898,0.0,56.793,43130,-3.67,20.7,0.53,409.0,30.04,30.14,1.75,48.96,0.37,88.49,41.14364285714286,23.71,0.19,0
99,충청북도 제천시,1,-11.245,3,1.037,0.0,57.456,43150,-3.22,18.82,0.47,150.0,23.68,7.6,0.64,62.79,-0.23,94.84,41.14364285714286,18.01,0.37,0
100,충청북도 보은군,1,-53.004,4,2.028,0.0,62.816,43720,-7.56,7.74,0.53,45.0,39.17,34.71,0.79,145.4,-1.12,92.03,41.14364285714286,69.98,1.28,1
101,충청북도 옥천군,1,-40.337,5,1.212,1.0,61.048,43730,-5.87,17.47,0.52,86.0,27.88,14.49,1.01,106.93,-0.03,93.09,41.14364285714286,67.61,1.04,0
102,충청북도 영동군,0,-42.321,5,1.719,0.0,43.836,43740,-3.13,16.66,0.37,50.0,17.73,15.13,0.61,106.81,-1.1,88.5,41.14364285714286,18.33,0.85,0
103,충청북도 증평군,1,-12.124,1,4.113,0.0,54.437,43745,-3.81,17.63,0.43,40.0,32.9,19.28,3.4,113.31,0.1,84.2,41.14364285714286,39.61,0.55,0
104,충청북도 진천군,1,4.706,0,5.479,0.0,50.513,43750,3.83,27.83,0.9,331.0,97.86,16.06,1.54,75.32,3.45,87.9,41.14364285714286,36.07,0.25,2
105,충청북도 괴산군,1,-47.509,1,3.028,2.0,51.502,43760,-2.64,12.86,0.44,48.0,23.7,17.14,0.61,130.33,1.04,95.76,41.14364285714286,17.43,1.61,0
106,충청북도 음성군,0,8.648,3,5.473,0.0,47.758,43770,-7.05,31.06,1.08,467.0,87.06,21.77,1.9,71.29,-0.54,87.3,41.14364285714286,33.39,0.33,2
107,충청북도 단양군,1,-54.755,3,2.946,1.0,67.862,43800,-5.97,21.75,0.63,27.0,37.38,31.74,0.75,171.7,-0.8,87.13,41.14364285714286,27.0,1.8,1
108,충청남도 천안시,1,5.635,0,4.318,0.0,50.601,44130,-1.47,47.59,0.51,3675.0,44.25,9.89,3.12,24.72,0.61,87.13715189873419,13.73,16.03,0.7064285714285715,0
109,충청남도 공주시,1,-29.52,5,2.551,2.0,58.586,44150,-1.04,18.66,0.53,392.0,29.71,16.83,1.26,71.15,-0.53,87.13715189873419,44.69,15.99,0.93,0
110,충청남도 보령시,0,-32.272,4,2.184,0.0,45.979,44180,-6.92,20.37,0.49,149.0,33.57,10.56,2.28,77.73,-0.41,87.13715189873419,44.75,14.6,1.47,0
111,충청남도 서산시,1,4.877,0,3.885,0.0,51.703,44210,-2.46,39.46,0.53,301.0,70.19,19.55,2.07,49.22,0.23,87.13715189873419,25.68,11.03,0.65,2
112,충청남도 논산시,1,-35.432,5,2.852,1.0,65.416,44230,-4.6,13.2,0.48,226.0,23.98,10.56,2.41,62.67,-0.66,87.13715189873419,49.67,15.24,0.34,1
113,충청남도 금산군,1,-43.03,5,1.975,0.0,67.747,44710,-4.08,18.17,0.67,156.0,42.39,24.56,0.26,96.87,-0.99,87.13715189873419,73.44,18.75,0.78,1
114,충청남도 부여군,1,-49.986,5,-1.588,2.0,70.87,44760,-8.3,14.33,0.35,52.0,18.41,11.11,0.27,86.54,-0.95,87.13715189873419,77.24,14.03,0.47,1
115,충청남도 서천군,1,-51.494,5,2.499,1.0,57.181,44770,-5.09,13.09,0.64,58.0,37.32,19.06,1.94,99.73,-1.09,87.13715189873419,71.03,17.66,1.61,0
116,충청남도 청양군,1,-49.518,2,2.825,0.0,67.642,44790,-8.02,15.92,0.47,60.0,22.06,3.41,1.8,153.25,-0.73,87.13715189873419,106.41,20.08,0.67,1
117,충청남도 홍성군,0,-23.559,2,2.517,0.0,44.769,44800,-3.83,19.3,0.45,115.0,18.89,14.5,0.9,60.08,-0.28,87.13715189873419,41.23,10.58,0.4,0
118,충청남도 예산군,1,-43.194,5,2.146,1.0,59.495,44810,-3.3,13.82,0.54,99.0,32.62,14.31,1.3,72.91,-0.3,87.13715189873419,53.2,24.08,0.53,0
119,충청남도 태안군,0,-37.786,2,3.46,0.0,41.923,44825,-4.59,19.71,0.47,59.0,36.72,9.46,2.01,94.52,-0.1,87.13715189873419,43.27,12.39,1.02,0
120,전라북도 전주시,1,0.279,3,2.905,0.0,61.189,45110,-2.8,30.95,0.42,1633.0,21.82,25.08,7.5,25.37,0.47,86.26,11.73,17.42,0.773076923076923,1
121,전라북도 군산시,1,-6.386,4,-0.087,2.0,60.714,45130,-4.43,21.6,0.45,485.0,35.27,28.61,3.51,42.13,-0.74,83.31,22.86,14.02,0.08,0
122,전라북도 익산시,1,-8.255,5,1.3,1.0,67.978,45140,-5.72,18.69,0.46,976.0,28.23,20.74,2.36,45.01,-1.91,80.85,28.97,22.57,0.11,1
123,전라북도 정읍시,1,-45.948,5,1.588,1.0,53.704,45180,-5.52,14.55,0.45,199.0,22.22,40.4,1.54,75.45,-0.88,91.98,72.07,20.38,0.68,0
124,전라북도 남원시,1,-43.353,5,-1.994,2.0,64.742,45190,-5.25,11.37,0.39,68.0,15.31,41.41,1.24,99.59,-0.86,89.62,69.15,21.78,0.13,1
125,전라북도 김제시,1,-51.964,5,2.199,0.0,62.949,45210,-6.08,13.13,0.61,155.0,29.38,18.03,1.6,96.94,-0.89,92.42,86.0,25.62,0.26,1
126,전라북도 완주군,1,-18.069,2,4.851,0.0,51.414,45710,-6.11,22.5,0.72,578.0,76.51,19.74,1.43,68.96,-2.05,90.33,53.55,14.43,0.55,2
127,전라북도 진안군,1,-64.327,2,5.228,1.0,52.783,45720,-11.31,11.03,0.44,29.0,14.73,22.78,0.5,204.44,-0.29,98.14,155.55,42.22,1.78,0
128,전라북도 무주군,1,-51.105,5,2.164,2.0,58.899,45730,-4.2,17.97,0.51,13.0,21.6,4.97,0.61,187.37,-0.13,92.89,126.54,40.85,0.89,0
129,전라북도 장수군,1,-55.332,1,-2.216,1.0,63.932,45740,-1.44,15.84,0.34,50.0,13.82,38.1,0.93,194.79,-2.56,89.14,141.27,27.48,0.48,1
